ID,Name,BCMask,DownScaling,Cluster,Group,Time(s),Duration,LMb,LMa,L0b,L0a,L1b,L1a,L2b,L2a,LMb(Hz),LMa(Hz),L0b(Hz),L0a(Hz),L1b(Hz),L1a(Hz),L2b(Hz),L2a(Hz),LMa/LMb,L0a/L0b,L1a/L1b,L2a/L2b
34,CINT11-B-NOPF-CENTNOTRD,B, ,1,0,0,00:34:31,464881908,464881908,741483,489433,489433,489433,489433,489433,224467,224467,358.0,236.3,236.3,236.3,236.3,236.3,1.00,0.66,1.00,1.00
35,CINT11-I-NOPF-CENTNOTRD,I, ,1,0,0,00:34:31,46488191,46488191,68930,45843,45843,45843,45843,45843,22447,22447,33.3,22.1,22.1,22.1,22.1,22.1,1.00,0.67,1.00,1.00
36,CINT11-A-NOPF-CENTNOTRD,A,50.000%,1,0,0,00:34:31,860031532,860031532,124765,21729,21729,21729,21729,21729,415264,415264,60.2,10.5,10.5,10.5,10.5,10.5,1.00,0.17,1.00,1.00
37,CINT11-C-NOPF-CENTNOTRD,C,50.000%,1,0,0,00:34:31,836787440,836787440,92587,17574,17574,17574,17574,17574,404040,404040,44.7,8.5,8.5,8.5,8.5,8.5,1.00,0.19,1.00,1.00
38,CINT11-E-NOPF-CENTNOTRD,E, ,1,0,0,00:34:31,46488192,46488192,1336,663,663,663,663,663,22447,22447,0.65,0.32,0.32,0.32,0.32,0.32,1.00,0.50,1.00,1.00
