Name,SOR,EOR,Avg
Interacting Bunches Beam 1,1.739E+12,1.738E+12,1.738E+12
Non Interacting Bunches Beam 1,3.110E+12,3.103E+12,3.106E+12
Interacting Bunches Beam 2,1.737E+12,1.736E+12,1.737E+12
Non Interacting Bunches Beam 2,3.014E+12,3.011E+12,3.013E+12
