ID,Name,BCMask,DownScaling,Cluster,Group,Time(s),Duration,LMb,LMa,L0b,L0a,L1b,L1a,L2b,L2a,LMb(Hz),LMa(Hz),L0b(Hz),L0a(Hz),L1b(Hz),L1a(Hz),L2b(Hz),L2a(Hz),LMa/LMb,L0a/L0b,L1a/L1b,L2a/L2b
34,CINT11-B-NOPF-CENTNOTRD,B, ,1,0,0,00:29:50,401888747,401888747,1623287,778911,778911,778911,778911,778911,224467,224467,906.7,435.0,435.0,435.0,435.0,435.0,1.00,0.48,1.00,1.00
35,CINT11-I-NOPF-CENTNOTRD,I, ,1,0,0,00:29:50,40188874,40188874,145953,69786,69786,69786,69786,69786,22447,22447,81.5,39.0,39.0,39.0,39.0,39.0,1.00,0.48,1.00,1.00
36,CINT11-A-NOPF-CENTNOTRD,A,50.000%,1,0,0,00:29:50,743494170,743494170,116000,13856,13856,13856,13856,13856,415265,415265,64.8,7.7,7.7,7.7,7.7,7.7,1.00,0.12,1.00,1.00
37,CINT11-C-NOPF-CENTNOTRD,C,50.000%,1,0,0,00:29:50,723399732,723399732,86062,11244,11244,11244,11244,11244,404041,404041,48.1,6.3,6.3,6.3,6.3,6.3,1.00,0.13,1.00,1.00
38,CINT11-E-NOPF-CENTNOTRD,E, ,1,0,0,00:29:50,40188874,40188874,1237,457,457,457,457,457,22447,22447,0.69,0.26,0.26,0.26,0.26,0.26,1.00,0.37,1.00,1.00
