Name,SOR,EOR,Avg
Interacting Bunches Beam 1,1.738E+12,1.736E+12,1.737E+12
Non Interacting Bunches Beam 1,3.102E+12,3.074E+12,3.098E+12
Interacting Bunches Beam 2,1.736E+12,1.735E+12,1.735E+12
Non Interacting Bunches Beam 2,3.011E+12,3.009E+12,3.010E+12
